url,ssl,age,status_code,blacklisted_words,is_phishing
myfritz.net,TRUE,4189,200,[],0
amazon.in,FALSE,6603,200,"['gift', 'seller']",0
twitter.com,TRUE,8451,200,"['surprise', 'trusted', 'fast']",0
www.city-link.co.in/imgs/index.html,TRUE,3096,200,[],1
lrdyf.cn/?RbS_CurrentPageID=START&amp;&amp;COMMAND=LOGIN,FALSE,212,403,[],1
u1965047.plsk.regruhosting.ru/73/,TRUE,5442,200,[],1
bafybeihgc6jf36sdglwbxaf5osmyua3hlluirwwfgizrdkbinvyt6gipme.ipfs.cf-ipfs.com/,TRUE,1558,200,[],1
psivhc.webwave.dev/,TRUE,1472,200,[],1
u1965047.plsk.regruhosting.ru/230/,TRUE,5442,200,[],1
www.imxprs.com/free/emailupdatee/owaweb,TRUE,3266,200,['fast'],1
digitalocean.com,TRUE,8369,200,"['real', 'fast']",0
aol-108597.weeblysite.com/,FALSE,3736,404,[],1
justhost.ru,TRUE,5989,200,[],0
cvbngdseurifkggf.godaddysites.com/,TRUE,3401,200,['seller'],1
digikala.com,TRUE,5969,200,[],0
free.fr,TRUE,8763,200,[],0
www.macheonda.it/turteyhb/ujalikatren/lulujia.php,FALSE,367,404,[],1
bafybeieykrmvpnwd7ifrl4qjnxeaxfbic4vrv767gz74oj5wpucvdngdkm.ipfs.dweb.link/pxpsoauth.html?contimetra@contimetra.com%20,TRUE,2208,200,[],1
u1965047.plsk.regruhosting.ru/60/,TRUE,5442,200,[],1
mlb.com,TRUE,10358,200,"['gift', 'real']",0
newsweek.com,FALSE,10526,403,[],0
u1965047.plsk.regruhosting.ru/210/,TRUE,5442,200,"['gift', 'seller']",1
box.com,TRUE,8789,200,"['trusted', 'fast']",0
u1965047.plsk.regruhosting.ru/163/,TRUE,5442,200,[],1
springer.com,TRUE,9418,200,['seller'],0
www.direct3.smbc.co.jp.aib.catloag.com/ibg/client/home.php,TRUE,79,200,"['phishing', 'real']",1
chegg.com,FALSE,8418,403,[],0
cloudns.net,TRUE,4844,200,"['spam', 'gift', 'real', 'trusted', 'seller', 'fast']",0
flaticon.com,FALSE,3593,403,[],0
direct.smbcc-co-jp.dmedicalxue.com/ibg/client/home.php,TRUE,300,200,"['phishing', 'real']",1
vrbo.com,TRUE,9721,200,"['real', 'fast']",0
u1965047.plsk.regruhosting.ru/32/,TRUE,5442,200,[],1
ovh.net,TRUE,9043,200,[],0
stage2sports.com/wp-content/uploads/sharepoint.com.axp/sharefile/cda.php?id=d4f3d2b58d85021cac293b87008d612ed4f3d2b58d85021cac293b87008d612e&amp;session=d4f3d2b58d85021cac293b87008d612ed4f3d2b58d85021cac293b87008d612e,TRUE,185,200,[],1
koyamato.kurone-koyamato-koaustops.com/,FALSE,1,404,[],1
u1965047.plsk.regruhosting.ru/251/,TRUE,5442,200,"['gift', 'seller']",1
g.page,TRUE,1686,200,"['fraud', 'legit', 'trusted', 'fast']",0
vystar.connectnow.chat/,TRUE,137,200,[],1
adswizz.com,TRUE,5592,200,['real'],0
gettyimages.com,FALSE,8832,403,[],0
u1965047.plsk.regruhosting.ru/90/,TRUE,5442,200,[],1
hhree.godaddysites.com/,TRUE,3401,200,['seller'],1
att-yahoo-maail-hjfjhcchbdhjhsfjw105788.weeblysite.com/,FALSE,3736,404,[],1
cambridge.org,TRUE,9094,200,['trusted'],0
fiverr.com,FALSE,4841,403,[],0
parallels.com,TRUE,8147,200,['fast'],0
bafybeifjhvofy4ixcb56su4qnisk4n724t43wlfn3risvj4pmbtlla5hzq.ipfs.dweb.link/onedrive.html,TRUE,2208,200,[],1
grammarly.com,TRUE,5001,200,['trusted'],0
creativecommons.org,TRUE,8091,200,[],0
